,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
114,700,1105.192012102721,4.177855666000001,"[12, 13, 17, 7, 11, 2, 16, 5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 1, 4, 15]",50,0.05,2000
115,800,1105.192012102721,4.177855666000001,"[12, 13, 17, 7, 11, 2, 16, 5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 1, 4, 15]",50,0.05,2000
116,900,1105.192012102721,4.177855666000001,"[12, 13, 17, 7, 11, 2, 16, 5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 1, 4, 15]",50,0.05,2000
117,1000,1105.192012102721,4.177855666000001,"[12, 13, 17, 7, 11, 2, 16, 5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 1, 4, 15]",50,0.05,2000
118,1500,1105.192012102721,4.177855666000001,"[12, 13, 17, 7, 11, 2, 16, 5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 1, 4, 15]",50,0.05,2000
119,2000,1105.192012102721,4.177855666000001,"[12, 13, 17, 7, 11, 2, 16, 5, 14, 10, 19, 8, 3, 18, 0, 6, 9, 1, 4, 15]",50,0.05,2000
120,0,2633.137458865322,0.0031619340000013096,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",50,0.1,2000
121,10,1896.7530887439866,0.10304833800000068,"[8, 19, 18, 13, 16, 10, 7, 9, 4, 6, 12, 17, 2, 0, 15, 11, 1, 5, 14, 3]",50,0.1,2000
122,25,1640.7201695131748,0.2310521630000011,"[19, 18, 0, 16, 10, 8, 6, 7, 9, 4, 13, 12, 17, 2, 15, 11, 1, 5, 14, 3]",50,0.1,2000
123,50,1446.152319855266,0.42601315000000106,"[19, 18, 0, 3, 10, 8, 6, 9, 7, 4, 13, 12, 17, 16, 2, 15, 1, 11, 5, 14]",50,0.1,2000
124,75,1365.0189364756068,0.6308173580000016,"[5, 18, 8, 3, 19, 10, 0, 6, 9, 7, 4, 13, 12, 17, 2, 16, 15, 1, 11, 14]",50,0.1,2000
125,100,1341.1065546875498,0.8267912610000003,"[5, 18, 3, 8, 19, 10, 0, 6, 9, 7, 4, 13, 17, 12, 2, 16, 15, 1, 11, 14]",50,0.1,2000
126,125,1287.196429682515,1.0283830310000006,"[5, 3, 18, 8, 19, 10, 0, 6, 9, 7, 4, 11, 13, 17, 12, 2, 1, 15, 16, 14]",50,0.1,2000
127,150,1248.7312801982475,1.232153534,"[5, 10, 18, 8, 19, 3, 0, 6, 9, 7, 4, 11, 13, 17, 12, 2, 1, 15, 16, 14]",50,0.1,2000
